Roll,Name,Email
1401AI02,Aman,Aman@mycollege.in
1401CB02,Tushar,Tushar@mycollege.in
1401CE02,Alok,Alok@mycollege.in
1401CH02,Ganesh,Ganesh@mycollege.in
1401CS02,Divyanshi,Divyanshi@mycollege.in
1401CT02,Shivang,Shivang@mycollege.in
1401EC02,Sangeeta,Sangeeta@mycollege.in
1401MC02,Sasi,Sasi@mycollege.in
1401MM02,Abhilash,Abhilash@mycollege.in
1401MT02,Abhilasha,Abhilasha@mycollege.in
1401AI13,Utkarsh,Utkarsh@mycollege.in
1401CB13,Ritika,Ritika@mycollege.in
1401CE13,Vineet,Vineet@mycollege.in
1401CH13,Devendra,Devendra@mycollege.in
1401CS13,Samriddhi,Samriddhi@mycollege.in
1401CT13,Yashika,Yashika@mycollege.in
1401EC13,Mehak,Mehak@mycollege.in
1401MC13,Karthikeya,Karthikeya@mycollege.in
1401MM13,Sukumaran,Sukumaran@mycollege.in
1401MT13,Kaushiki,Kaushiki@mycollege.in
1401AI24,Siddharth,Siddharth@mycollege.in
1401CB24,Akshat,Akshat@mycollege.in
1401CE24,Priyanshu,Priyanshu@mycollege.in
1401CH24,Rishab,Rishab@mycollege.in
1401CS24,Alka,Alka@mycollege.in
1401CT24,Khanak,Khanak@mycollege.in
1401EC24,Devanshu,Devanshu@mycollege.in
1401MC24,Desh,Desh@mycollege.in
1401MM24,Chandra,Chandra@mycollege.in
1401MT24,Kunaal,Kunaal@mycollege.in
1401AI35,Vivek,Vivek@mycollege.in
1401CB35,Priyanka,Priyanka@mycollege.in
1401CE35,Shubhangi,Shubhangi@mycollege.in
1401CH35,Ajit,Ajit@mycollege.in
1401CS35,Chetna,Chetna@mycollege.in
1401CT35,Prajjwal,Prajjwal@mycollege.in
1401EC35,Madhuri,Madhuri@mycollege.in
1401MC35,Rakesh,Rakesh@mycollege.in
1401MM35,Sahaj,Sahaj@mycollege.in
1401MT35,Prathmesh,Prathmesh@mycollege.in
1401CB46,Sumit,Sumit@mycollege.in
1401CE46,Abdul,Abdul@mycollege.in
1401CH46,Unnati,Unnati@mycollege.in
1401CS46,Kirti,Kirti@mycollege.in
1401CT46,Arman,Arman@mycollege.in
1401EC46,Dilip,Dilip@mycollege.in
1401MC46,Sabareesh,Sabareesh@mycollege.in
1401MM46,Ashmita,Ashmita@mycollege.in
1401MT46,Mukund,Mukund@mycollege.in
1401CH57,Pradeep,Pradeep@mycollege.in
1401CS57,Suryansh,Suryansh@mycollege.in
1401CT57,Kushagra,Kushagra@mycollege.in
1401MC57,Mangal,Mangal@mycollege.in
1401MM57,Vashif,Vashif@mycollege.in
1401MT57,Shagun,Shagun@mycollege.in
1401CH68,Rashi,Rashi@mycollege.in
1401CS68,Umme,Umme@mycollege.in
1401MC68,Anuj,Anuj@mycollege.in
1401MM68,Areeb,Areeb@mycollege.in
1401MT68,Sanket,Sanket@mycollege.in
1401CH79,Mukesh,Mukesh@mycollege.in
1401CS79,Dimpal,Dimpal@mycollege.in
1401MM79,Meet,Meet@mycollege.in
1401CS90,Sushant,Sushant@mycollege.in
