Roll,Name,Email
1401AI11,Muskan,Muskan@mycollege.in
1401CB11,Akanksha,Akanksha@mycollege.in
1401CE11,Shaurya,Shaurya@mycollege.in
1401CH11,Deependra,Deependra@mycollege.in
1401CS11,Ritesh,Ritesh@mycollege.in
1401CT11,Vipul,Vipul@mycollege.in
1401EC11,Mallika,Mallika@mycollege.in
1401MC11,Ashok,Ashok@mycollege.in
1401MM11,Dushyant,Dushyant@mycollege.in
1401MT11,Kanha,Kanha@mycollege.in
1401AI22,Gaurav,Gaurav@mycollege.in
1401CB22,Priyanshi,Priyanshi@mycollege.in
1401CE22,Pratibha,Pratibha@mycollege.in
1401CH22,Amol,Amol@mycollege.in
1401CS22,Durga,Durga@mycollege.in
1401CT22,Mugdha,Mugdha@mycollege.in
1401EC22,Rekha,Rekha@mycollege.in
1401MC22,Chahat,Chahat@mycollege.in
1401MM22,Abbas,Abbas@mycollege.in
1401MT22,Jagriti,Jagriti@mycollege.in
1401AI33,Harshita,Harshita@mycollege.in
1401CB33,Shraddha,Shraddha@mycollege.in
1401CE33,Sarvesh,Sarvesh@mycollege.in
1401CH33,Abhijeet,Abhijeet@mycollege.in
1401CS33,Bramoni,Bramoni@mycollege.in
1401CT33,Poonam,Poonam@mycollege.in
1401EC33,Khushboo,Khushboo@mycollege.in
1401MC33,Sweta,Sweta@mycollege.in
1401MM33,Sara,Sara@mycollege.in
1401MT33,Leena,Leena@mycollege.in
1401AI44,Shivani,Shivani@mycollege.in
1401CB44,Pranjal,Pranjal@mycollege.in
1401CE44,Vartika,Vartika@mycollege.in
1401CH44,Danish,Danish@mycollege.in
1401CS44,Madhav,Madhav@mycollege.in
1401CT44,Shrishti,Shrishti@mycollege.in
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in
1401MC44,Kavish,Kavish@mycollege.in
1401MM44,Chirayu,Chirayu@mycollege.in
1401MT44,Manaswini,Manaswini@mycollege.in
1401CE55,Sunil,Sunil@mycollege.in
1401CH55,Pooja,Pooja@mycollege.in
1401CS55,Disha,Disha@mycollege.in
1401CT55,Jaya,Jaya@mycollege.in
1401MC55,Subash,Subash@mycollege.in
1401MM55,Anshit,Anshit@mycollege.in
1401MT55,Devyanti,Devyanti@mycollege.in
1401CH66,Ruchi,Ruchi@mycollege.in
1401CS66,Aryan,Aryan@mycollege.in
1401MC66,Deepshikha,Deepshikha@mycollege.in
1401MM66,Ashal,Ashal@mycollege.in
1401MT66,Kausar,Kausar@mycollege.in
1401CH77,Rituraj,Rituraj@mycollege.in
1401CS77,Bhawana,Bhawana@mycollege.in
1401MM77,Akshaya,Akshaya@mycollege.in
1401MT77,Saharsh,Saharsh@mycollege.in
1401CS88,Soniya,Soniya@mycollege.in
