Roll,Name,Email
1401AI05,Aditi,Aditi@mycollege.in
1401CB05,Ashutosh,Ashutosh@mycollege.in
1401CE05,Pragati,Pragati@mycollege.in
1401CH05,Jitendra,Jitendra@mycollege.in
1401CS05,Astha,Astha@mycollege.in
1401CT05,Sonu,Sonu@mycollege.in
1401EC05,Prabhakar,Prabhakar@mycollege.in
1401MC05,Kartikeya,Kartikeya@mycollege.in
1401MM05,Hemlata,Hemlata@mycollege.in
1401MT05,Mubasshira,Mubasshira@mycollege.in
1401AI16,Saumya,Saumya@mycollege.in
1401CB16,Arun,Arun@mycollege.in
1401CE16,Parul,Parul@mycollege.in
1401CH16,Divyansh,Divyansh@mycollege.in
1401CS16,Akshay,Akshay@mycollege.in
1401CT16,Sunny,Sunny@mycollege.in
1401EC16,Saket,Saket@mycollege.in
1401MC16,Sudhakar,Sudhakar@mycollege.in
1401MM16,Saanchi,Saanchi@mycollege.in
1401MT16,Kandarp,Kandarp@mycollege.in
1401AI27,Harshit,Harshit@mycollege.in
1401CB27,Palak,Palak@mycollege.in
1401CE27,Ishan,Ishan@mycollege.in
1401CH27,Supriya,Supriya@mycollege.in
1401CS27,Anwar,Anwar@mycollege.in
1401CT27,Pakhi,Pakhi@mycollege.in
1401EC27,Dhruv,Dhruv@mycollege.in
1401MC27,Laxmi,Laxmi@mycollege.in
1401MM27,Sanjeeda,Sanjeeda@mycollege.in
1401MT27,Sawan,Sawan@mycollege.in
1401AI38,Aditya,Aditya@mycollege.in
1401CB38,Kavya,Kavya@mycollege.in
1401CE38,Vikash,Vikash@mycollege.in
1401CH38,Mahendra,Mahendra@mycollege.in
1401CS38,Abhyuday,Abhyuday@mycollege.in
1401CT38,Tanishq,Tanishq@mycollege.in
1401EC38,Jahanvi,Jahanvi@mycollege.in
1401MC38,Rajiv,Rajiv@mycollege.in
1401MM38,Rupeshwary,Rupeshwary@mycollege.in
1401MT38,Meenu,Meenu@mycollege.in
1401CB49,Soumya,Soumya@mycollege.in
1401CE49,Nupur,Nupur@mycollege.in
1401CH49,Shailesh,Shailesh@mycollege.in
1401CS49,Niteesh,Niteesh@mycollege.in
1401CT49,Yusuf,Yusuf@mycollege.in
1401EC49,Dipa,Dipa@mycollege.in
1401MC49,Lekhraj,Lekhraj@mycollege.in
1401MM49,Nahid,Nahid@mycollege.in
1401MT49,Ehtisham,Ehtisham@mycollege.in
1401CH60,Shriya,Shriya@mycollege.in
1401CS60,Smita,Smita@mycollege.in
1401CT60,Janvi,Janvi@mycollege.in
1401MC60,Ravisankar,Ravisankar@mycollege.in
1401MM60,Saudamini,Saudamini@mycollege.in
1401MT60,Ronit,Ronit@mycollege.in
1401CH71,Shubhi,Shubhi@mycollege.in
1401CS71,Ayushman,Ayushman@mycollege.in
1401MC71,Renu,Renu@mycollege.in
1401MM71,Arish,Arish@mycollege.in
1401MT71,Shagufta,Shagufta@mycollege.in
1401CH82,Rashmi,Rashmi@mycollege.in
1401CS82,Shubh,Shubh@mycollege.in
1401MM82,Govindam,Govindam@mycollege.in
1401CS93,Subham,Subham@mycollege.in
