Roll,Name,Email
1401AI01,Abhishek,Abhishek@mycollege.in
1401CB01,Mansi,Mansi@mycollege.in
1401CE01,Sarthak,Sarthak@mycollege.in
1401CH01,Nitesh,Nitesh@mycollege.in
1401CS01,Arpita,Arpita@mycollege.in
1401CT01,Sudhanshu,Sudhanshu@mycollege.in
1401EC01,Sania,Sania@mycollege.in
1401MC01,Indra,Indra@mycollege.in
1401MM01,Bilal,Bilal@mycollege.in
1401MT01,Mairaz,Mairaz@mycollege.in
1401AI12,Rahul,Rahul@mycollege.in
1401CB12,Neeraj,Neeraj@mycollege.in
1401CE12,Kashish,Kashish@mycollege.in
1401CH12,Anoop,Anoop@mycollege.in
1401CS12,Bhumika,Bhumika@mycollege.in
1401CT12,Vipin,Vipin@mycollege.in
1401EC12,Mahima,Mahima@mycollege.in
1401MC12,Suresh,Suresh@mycollege.in
1401MM12,Anshuman,Anshuman@mycollege.in
1401MT12,Khalid,Khalid@mycollege.in
1401AI23,Nikhil,Nikhil@mycollege.in
1401CB23,Suraj,Suraj@mycollege.in
1401CE23,Praveen,Praveen@mycollege.in
1401CH23,Sonal,Sonal@mycollege.in
1401CS23,Apurva,Apurva@mycollege.in
1401CT23,Madhu,Madhu@mycollege.in
1401EC23,Pratham,Pratham@mycollege.in
1401MC23,Sourav,Sourav@mycollege.in
1401MM23,Anubha,Anubha@mycollege.in
1401MT23,Khansa,Khansa@mycollege.in
1401AI34,Anurag,Anurag@mycollege.in
1401CB34,Deepak,Deepak@mycollege.in
1401CE34,Vidya,Vidya@mycollege.in
1401CH34,Harshvardhan,Harshvardhan@mycollege.in
1401CS34,Nethaji,Nethaji@mycollege.in
1401CT34,Purnima,Purnima@mycollege.in
1401EC34,Karishma,Karishma@mycollege.in
1401MC34,Thaanya,Thaanya@mycollege.in
1401MM34,Rupal,Rupal@mycollege.in
1401MT34,Harshada,Harshada@mycollege.in
1401AI45,Prakhar,Prakhar@mycollege.in
1401CB45,Isha,Isha@mycollege.in
1401CE45,Aviral,Aviral@mycollege.in
1401CH45,Tamanna,Tamanna@mycollege.in
1401CS45,Divyam,Divyam@mycollege.in
1401CT45,Amrit,Amrit@mycollege.in
1401EC45,Nishtha,Nishtha@mycollege.in
1401MC45,Monica,Monica@mycollege.in
1401MM45,Sameeksha,Sameeksha@mycollege.in
1401MT45,Neelu,Neelu@mycollege.in
1401CE56,Juhi,Juhi@mycollege.in
1401CH56,Gayathri,Gayathri@mycollege.in
1401CS56,Seema,Seema@mycollege.in
1401CT56,Namrata,Namrata@mycollege.in
1401MC56,Raunak,Raunak@mycollege.in
1401MM56,Anubhuti,Anubhuti@mycollege.in
1401MT56,Nishchay,Nishchay@mycollege.in
1401CH67,Udit,Udit@mycollege.in
1401CS67,Vertika,Vertika@mycollege.in
1401MC67,Amar,Amar@mycollege.in
1401MM67,Zeal,Zeal@mycollege.in
1401MT67,Rouby,Rouby@mycollege.in
1401CH78,Naman,Naman@mycollege.in
1401CS78,Divakar,Divakar@mycollege.in
1401MM78,Madhusri,Madhusri@mycollege.in
1401MT78,Kushan,Kushan@mycollege.in
1401CS89,Tanay,Tanay@mycollege.in
