Roll,Name,Email
1401AI06,Anjali,Anjali@mycollege.in
1401CB06,Adarsh,Adarsh@mycollege.in
1401CE06,Shivam,Shivam@mycollege.in
1401CH06,Chirag,Chirag@mycollege.in
1401CS06,Sanjay,Sanjay@mycollege.in
1401CT06,Shakti,Shakti@mycollege.in
1401EC06,Nivedita,Nivedita@mycollege.in
1401MC06,Chaitanya,Chaitanya@mycollege.in
1401MM06,Aanchal,Aanchal@mycollege.in
1401MT06,Goldy,Goldy@mycollege.in
1401AI17,Rishabh,Rishabh@mycollege.in
1401CB17,Pallavi,Pallavi@mycollege.in
1401CE17,Shambhavi,Shambhavi@mycollege.in
1401CH17,Kushal,Kushal@mycollege.in
1401CS17,Shekhar,Shekhar@mycollege.in
1401CT17,Vineeta,Vineeta@mycollege.in
1401EC17,Rishika,Rishika@mycollege.in
1401MC17,Dhruva,Dhruva@mycollege.in
1401MM17,Aadil,Aadil@mycollege.in
1401MT17,Noopur,Noopur@mycollege.in
1401AI28,Shashank,Shashank@mycollege.in
1401CB28,Ankur,Ankur@mycollege.in
1401CE28,Garima,Garima@mycollege.in
1401CH28,Anchal,Anchal@mycollege.in
1401CS28,Apratim,Apratim@mycollege.in
1401CT28,Ranu,Ranu@mycollege.in
1401EC28,Deeksha,Deeksha@mycollege.in
1401MC28,Krishan,Krishan@mycollege.in
1401MM28,Devadathan,Devadathan@mycollege.in
1401MT28,Priyesh,Priyesh@mycollege.in
1401AI39,Nidhi,Nidhi@mycollege.in
1401CB39,Kunal,Kunal@mycollege.in
1401CE39,Aayush,Aayush@mycollege.in
1401CH39,Ahmad,Ahmad@mycollege.in
1401CS39,Akarsh,Akarsh@mycollege.in
1401CT39,Amaan,Amaan@mycollege.in
1401EC39,Kamran,Kamran@mycollege.in
1401MC39,Rajkumar,Rajkumar@mycollege.in
1401MM39,Brahmaputra,Brahmaputra@mycollege.in
1401MT39,Ranjan,Ranjan@mycollege.in
1401CB50,Neelesh,Neelesh@mycollege.in
1401CE50,Neha,Neha@mycollege.in
1401CH50,Shoaib,Shoaib@mycollege.in
1401CS50,Nithisha,Nithisha@mycollege.in
1401CT50,Anubhav,Anubhav@mycollege.in
1401EC50,Rohith,Rohith@mycollege.in
1401MC50,Sahil,Sahil@mycollege.in
1401MM50,Sharique,Sharique@mycollege.in
1401MT50,Nitya,Nitya@mycollege.in
1401CH61,Tharun,Tharun@mycollege.in
1401CS61,Subhra,Subhra@mycollege.in
1401CT61,Jai,Jai@mycollege.in
1401MC61,Mahesh,Mahesh@mycollege.in
1401MM61,Arshad,Arshad@mycollege.in
1401MT61,Rishu,Rishu@mycollege.in
1401CH72,Siddhant,Siddhant@mycollege.in
1401CS72,Geeta,Geeta@mycollege.in
1401MC72,Farhan,Farhan@mycollege.in
1401MM72,Shyamali,Shyamali@mycollege.in
1401MT72,Shaad,Shaad@mycollege.in
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in
1401CS83,Shreyash,Shreyash@mycollege.in
1401CS94,Srishti,Srishti@mycollege.in
