Roll,Name,Email
1401AI07,Shubham,Shubham@mycollege.in
1401CB07,Divya,Divya@mycollege.in
1401CE07,Lakshya,Lakshya@mycollege.in
1401CH07,Abhay,Abhay@mycollege.in
1401CS07,Mahek,Mahek@mycollege.in
1401CT07,Satendra,Satendra@mycollege.in
1401EC07,Neetika,Neetika@mycollege.in
1401MC07,Mani,Mani@mycollege.in
1401MM07,Sathwika,Sathwika@mycollege.in
1401MT07,Monish,Monish@mycollege.in
1401AI18,Shruti,Shruti@mycollege.in
1401CB18,Aniket,Aniket@mycollege.in
1401CE18,Anshu,Anshu@mycollege.in
1401CH18,Nitish,Nitish@mycollege.in
1401CS18,Amisha,Amisha@mycollege.in
1401CT18,Vibhanshu,Vibhanshu@mycollege.in
1401EC18,Satvik,Satvik@mycollege.in
1401MC18,Dhananjay,Dhananjay@mycollege.in
1401MM18,Ali,Ali@mycollege.in
1401MT18,Suchita,Suchita@mycollege.in
1401AI29,Akash,Akash@mycollege.in
1401CB29,Richa,Richa@mycollege.in
1401CE29,Manish,Manish@mycollege.in
1401CH29,Simran,Simran@mycollege.in
1401CS29,Hasni,Hasni@mycollege.in
1401CT29,Purvi,Purvi@mycollege.in
1401EC29,Bhavya,Bhavya@mycollege.in
1401MC29,Yatharth,Yatharth@mycollege.in
1401MM29,Vardhamann,Vardhamann@mycollege.in
1401MT29,Priyal,Priyal@mycollege.in
1401AI40,Ayushi,Ayushi@mycollege.in
1401CB40,Dheeraj,Dheeraj@mycollege.in
1401CE40,Akhilesh,Akhilesh@mycollege.in
1401CH40,Shalini,Shalini@mycollege.in
1401CS40,Navneet,Navneet@mycollege.in
1401CT40,Yuvraj,Yuvraj@mycollege.in
1401EC40,Kamini,Kamini@mycollege.in
1401MC40,Pushkar,Pushkar@mycollege.in
1401MM40,Hariharan,Hariharan@mycollege.in
1401MT40,Shukant,Shukant@mycollege.in
1401CE51,Vikas,Vikas@mycollege.in
1401CH51,Vishnu,Vishnu@mycollege.in
1401CS51,Sandhya,Sandhya@mycollege.in
1401CT51,Anita,Anita@mycollege.in
1401EC51,Jagadeesh,Jagadeesh@mycollege.in
1401MC51,Seshikanth,Seshikanth@mycollege.in
1401MM51,Anusha,Anusha@mycollege.in
1401MT51,Nishu,Nishu@mycollege.in
1401CH62,Karan,Karan@mycollege.in
1401CS62,Tuhin,Tuhin@mycollege.in
1401CT62,Naziya,Naziya@mycollege.in
1401MC62,Mahato,Mahato@mycollege.in
1401MM62,Yeram,Yeram@mycollege.in
1401MT62,Prasun,Prasun@mycollege.in
1401CH73,Mahi,Mahi@mycollege.in
1401CS73,Divyanshu,Divyanshu@mycollege.in
1401MC73,Vignesh,Vignesh@mycollege.in
1401MM73,Sejal,Sejal@mycollege.in
1401MT73,Rupali,Rupali@mycollege.in
1401CH84,Kriti,Kriti@mycollege.in
1401CS84,Satyarth,Satyarth@mycollege.in
1401CS95,Suryakant,Suryakant@mycollege.in
