Roll,Name,Email
1401AI03,Harsh,Harsh@mycollege.in
1401CB03,Abhinav,Abhinav@mycollege.in
1401CE03,Raghav,Raghav@mycollege.in
1401CH03,Naveen,Naveen@mycollege.in
1401CS03,Yogesh,Yogesh@mycollege.in
1401CT03,Shilpi,Shilpi@mycollege.in
1401EC03,Nimish,Nimish@mycollege.in
1401MC03,Arvind,Arvind@mycollege.in
1401MM03,Vaishali,Vaishali@mycollege.in
1401MT03,Mritunjay,Mritunjay@mycollege.in
1401AI14,Vaibhav,Vaibhav@mycollege.in
1401CB14,Tanya,Tanya@mycollege.in
1401CE14,Mayank,Mayank@mycollege.in
1401CH14,Diksha,Diksha@mycollege.in
1401CS14,Anmol,Anmol@mycollege.in
1401CT14,Virat,Virat@mycollege.in
1401EC14,Manshi,Manshi@mycollege.in
1401MC14,Lalit,Lalit@mycollege.in
1401MM14,Chandran,Chandran@mycollege.in
1401MT14,Elamathi,Elamathi@mycollege.in
1401AI25,Prashant,Prashant@mycollege.in
1401CB25,Ishika,Ishika@mycollege.in
1401CE25,Kshitij,Kshitij@mycollege.in
1401CH25,Shashwat,Shashwat@mycollege.in
1401CS25,Indora,Indora@mycollege.in
1401CT25,Megha,Megha@mycollege.in
1401EC25,Devansh,Devansh@mycollege.in
1401MC25,Raashi,Raashi@mycollege.in
1401MM25,Ayesha,Ayesha@mycollege.in
1401MT25,Ishwa,Ishwa@mycollege.in
1401AI36,Swati,Swati@mycollege.in
1401CB36,Khushi,Khushi@mycollege.in
1401CE36,Mohsin,Mohsin@mycollege.in
1401CH36,Poornima,Poornima@mycollege.in
1401CS36,Aastha,Aastha@mycollege.in
1401CT36,Satya,Satya@mycollege.in
1401EC36,Maaz,Maaz@mycollege.in
1401MC36,Pinky,Pinky@mycollege.in
1401MM36,Robin,Robin@mycollege.in
1401MT36,Ritank,Ritank@mycollege.in
1401CB47,Kishan,Kishan@mycollege.in
1401CE47,Sumeet,Sumeet@mycollege.in
1401CH47,Sachin,Sachin@mycollege.in
1401CS47,Annanya,Annanya@mycollege.in
1401CT47,Archana,Archana@mycollege.in
1401EC47,Ramanakanth,Ramanakanth@mycollege.in
1401MC47,Lakshmi,Lakshmi@mycollege.in
1401MM47,Chhavi,Chhavi@mycollege.in
1401MT47,Eshma,Eshma@mycollege.in
1401CH58,Ritu,Ritu@mycollege.in
1401CS58,Yashaswi,Yashaswi@mycollege.in
1401CT58,Hariom,Hariom@mycollege.in
1401MC58,Tejas,Tejas@mycollege.in
1401MM58,Jahangeer,Jahangeer@mycollege.in
1401MT58,Joy,Joy@mycollege.in
1401CH69,Shailendra,Shailendra@mycollege.in
1401CS69,Yukti,Yukti@mycollege.in
1401MC69,Siddhesh,Siddhesh@mycollege.in
1401MM69,Archita,Archita@mycollege.in
1401MT69,Hari,Hari@mycollege.in
1401CH80,Roshan,Roshan@mycollege.in
1401CS80,Shrestha,Shrestha@mycollege.in
1401MM80,Prajeeth,Prajeeth@mycollege.in
1401CS91,Ujjwal,Ujjwal@mycollege.in
