Roll,Name,Email
1401AI04,Ayush,Ayush@mycollege.in
1401CB04,Shivangi,Shivangi@mycollege.in
1401CE04,Rishi,Rishi@mycollege.in
1401CH04,Shikhar,Shikhar@mycollege.in
1401CS04,Deepika,Deepika@mycollege.in
1401CT04,Sourabh,Sourabh@mycollege.in
1401EC04,Nimesh,Nimesh@mycollege.in
1401MC04,Kartik,Kartik@mycollege.in
1401MM04,Apoorva,Apoorva@mycollege.in
1401MT04,Mudit,Mudit@mycollege.in
1401AI15,Amit,Amit@mycollege.in
1401CB15,Nisha,Nisha@mycollege.in
1401CE15,Jyoti,Jyoti@mycollege.in
1401CH15,Muskaan,Muskaan@mycollege.in
1401CS15,Aayushi,Aayushi@mycollege.in
1401CT15,Varsha,Varsha@mycollege.in
1401EC15,Prakhyat,Prakhyat@mycollege.in
1401MC15,Urmila,Urmila@mycollege.in
1401MM15,Anshul,Anshul@mycollege.in
1401MT15,Vasundhara,Vasundhara@mycollege.in
1401AI26,Priya,Priya@mycollege.in
1401CB26,Mohit,Mohit@mycollege.in
1401CE26,Arushi,Arushi@mycollege.in
1401CH26,Shatakshi,Shatakshi@mycollege.in
1401CS26,Aqsa,Aqsa@mycollege.in
1401CT26,Manya,Manya@mycollege.in
1401EC26,Dolly,Dolly@mycollege.in
1401MC26,Ram,Ram@mycollege.in
1401MM26,Rizwa,Rizwa@mycollege.in
1401MT26,Joshika,Joshika@mycollege.in
1401AI37,Vishal,Vishal@mycollege.in
1401CB37,Shweta,Shweta@mycollege.in
1401CE37,Saran,Saran@mycollege.in
1401CH37,Anil,Anil@mycollege.in
1401CS37,Aakriti,Aakriti@mycollege.in
1401CT37,Vandana,Vandana@mycollege.in
1401EC37,Jahnavi,Jahnavi@mycollege.in
1401MC37,Raju,Raju@mycollege.in
1401MM37,Rupanjali,Rupanjali@mycollege.in
1401MT37,Rishit,Rishit@mycollege.in
1401CB48,Pawan,Pawan@mycollege.in
1401CE48,Prerna,Prerna@mycollege.in
1401CH48,Anupam,Anupam@mycollege.in
1401CS48,Arunima,Arunima@mycollege.in
1401CT48,Avanish,Avanish@mycollege.in
1401EC48,Durgesh,Durgesh@mycollege.in
1401MC48,Love,Love@mycollege.in
1401MM48,Shreepriya,Shreepriya@mycollege.in
1401MT48,Aruba,Aruba@mycollege.in
1401CH59,Dinesh,Dinesh@mycollege.in
1401CS59,Avinash,Avinash@mycollege.in
1401CT59,Gargi,Gargi@mycollege.in
1401MC59,Mayur,Mayur@mycollege.in
1401MM59,Sharanya,Sharanya@mycollege.in
1401MT59,Reshami,Reshami@mycollege.in
1401CH70,Sameer,Sameer@mycollege.in
1401CS70,Vishesh,Vishesh@mycollege.in
1401MC70,Venkata,Venkata@mycollege.in
1401MM70,Archi,Archi@mycollege.in
1401MT70,Saumile,Saumile@mycollege.in
1401CH81,Nandini,Nandini@mycollege.in
1401CS81,Shivanshi,Shivanshi@mycollege.in
1401MM81,Gyanvi,Gyanvi@mycollege.in
1401CS92,Tanu,Tanu@mycollege.in
